genres,artists,acousticness,danceability,duration_ms,energy,liveness,speechiness,valence,popularity
"['art rock', 'classic uk pop', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']",Alison Moyet,17,65,218.48217,50,14,3,69,3683
"['aussietronica', 'edm', 'electra', 'electro house', 'electronic trap', 'electropop', 'escape room', 'indietronica']",Alison Wonderland,0,61,210.017,83,28,4,38,5900
['bubblegum pop'],Alive 'N Kickin',4,41,168.853,83,5,5,79,4300
['french pop'],Alizée,25,70,285.9435,90,16,3,78,5900
"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",Alka Yagnik,44,62,372.61742,68,15,8,74,5131
"['chicago punk', 'emo', 'pop punk', 'punk', 'screamo', 'skate punk']",Alkaline Trio,1,47,198.18136,90,24,9,60,4521
"['modern rock', 'pop punk', 'post-teen pop']",All,1,42,158.567,80,34,8,44,3700
"['modern rock', 'pop punk', 'post-teen pop']",All Time Low,3,46,204.71133,89,19,6,53,5298
"['boy band', 'dance pop', 'new jack swing', 'r&b', 'urban contemporary']",All-4-One,29,55,250.54657,47,17,3,39,5214
"['classic russian pop', 'russian pop', 'russian rock']",Alla Pugacheva,71,55,231.80945,37,15,8,60,3700
"['freak folk', 'indie garage rock', 'indie rock', 'indie surf', 'neo-psychedelic', 'noise pop']",Allah-Las,1,56,212.986,85,5,4,70,5600
"['australian hip hop', 'australian pop', 'australian trap']",Allday,6,73,209.058,62,15,12,92,5400
"['art pop', 'canadian electropop', 'canadian pop', 'dance pop', 'electropop', 'escape room', 'indie electropop', 'indie poptimism', 'metropopolis', 'pop', 'pop dance', 'post-teen pop', 'vapor soul']",Allie X,1,61,207.301,64,10,3,8,6600
"['chicago punk', 'pop punk', 'skate punk']",Allister,0,54,159.573,91,12,9,83,4400
"['neon pop punk', 'post-teen pop']",Allstar Weekend,1,68,205.52,94,8,11,78,4600
['classic uk pop'],Alma Cogan,79,76,132.507,45,29,19,96,4200
"['pop soul', 'r&b']",Aloe Blacc,14,61,209.13929,71,16,5,45,6157
"['electro house', 'pop nacional']",Alok,1,70,186.7,72,33,5,36,8000
"['dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",Alphaville,13,65,268.53012,60,21,4,50,5304
"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'scottish new wave', 'sophisti-pop', 'synthpop']",Altered Images,27,64,239.9974,67,22,5,68,3620
"['electropop', 'house', 'pop', 'pop dance', 'tropical house']",Aluna,1,61,200.914,94,7,6,40,7700
"['electropop', 'house', 'pop', 'pop dance', 'tropical house']",AlunaGeorge,7,57,261.12957,83,26,21,50,6057
"['latin', 'latin pop', 'pop romantico']",Alvaro Torres,59,51,238.25317,42,11,3,49,4100
"['classic uk pop', 'glam rock', 'pub rock']",Alvin Stardust,9,59,165.72,91,18,17,56,4000
"['indie pop', 'indie rock', 'shoegaze', 'toronto indie']",Alvvays,12,38,216.872,76,16,5,33,5580
"['dance pop', 'electropop', 'girl group', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop']",Aly & AJ,3,56,187.76325,83,23,4,64,5013
"['afrobeat', 'afropop', 'malian blues', 'mande pop', 'world']",Amadou & Mariam,78,64,256.8,53,24,3,54,5000
"['latin', 'latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock']",Amaia Montero,41,57,310.867,57,13,5,34,6050
"['latin', 'latin pop']",Amanda Miguel,47,62,229.02194,44,12,4,50,4472
"['hip pop', 'pop r&b', 'r&b', 'urban contemporary']",Amanda Perez,41,69,229.4135,55,16,4,51,4650
"['hollywood', 'pop']",Amanda Seyfried,41,53,238.8155,53,22,3,47,6100
"['indie anthem-folk', 'indie cafe pop', 'indie folk', 'modern alternative rock', 'modern rock']",Amber,5,65,227.33,90,17,4,72,4850
['art pop'],Amber Coffman,7,58,295.48433,68,18,8,47,5067
"['alternative r&b', 'indie r&b', 'indie soul', 'neo soul', 'nyc pop']",Amber Mark,56,72,214.578,48,9,5,32,6200
"['indie anthem-folk', 'indie cafe pop', 'indie folk', 'modern alternative rock', 'modern rock']",Amber Run,65,35,269.3042,32,9,4,21,6100
"['classic italian pop', 'italian adult pop']",Amedeo Minghi,53,61,258.564,65,30,3,49,5050
"['modern rock', 'neo mellow', 'pop punk', 'pop rock']",America,48,54,208.7894,41,13,4,50,3939
"['indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock']",American Authors,2,63,189.198,91,13,5,64,5857
"['bubblegum pop', 'folk rock']",American Breed,1,56,148.653,52,8,3,72,2100
['pop punk'],American Hi-Fi,0,46,187.329,93,18,5,58,5200
"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']",Amerie,10,72,235.249,73,9,17,76,5000
['hip pop'],Amil,8,75,286.86457,78,18,31,74,4200
"['hip hop', 'pop rap', 'portland hip hop', 'rap', 'underground hip hop']",Aminé,21,76,182.04076,51,16,22,63,6541
"['latin pop', 'spanish pop']",Amistades Peligrosas,21,72,248.92,80,8,6,83,6200
"['desi pop', 'filmi', 'modern bollywood', 'sufi']",Amit Trivedi,40,62,253.773,53,31,3,43,5100
"['acoustic pop', 'indie folk', 'lilith', 'neo mellow', 'new americana', 'pop rock', 'stomp and holler']",Amos Lee,55,61,222.75867,33,16,4,37,5489
